計數,名稱,SS-ZZ,位置 X,位置 Y
1,GPCADFGD,-0.59,175463.295,2537080.496
1,GPCADFGD,-1.09,175453.295,2537320.496
1,GPCADFGD,1.84,175463.295,2537100.496
1,GPCADFGD,1.29,175463.295,2537090.496
1,GPCADFGD,3.00,175453.295,2537310.496
1,GPCADFGD,3.40,175453.295,2537280.496
1,GPCADFGD,3.48,175453.295,2537270.496
1,GPCADFGD,3.39,175453.295,2537300.496
1,GPCADFGD,3.43,175453.295,2537290.496
1,GPCADFGD,1.97,175463.295,2537110.496
1,GPCADFGD,3.88,175463.295,2537180.496
1,GPCADFGD,3.80,175463.295,2537170.496
1,GPCADFGD,4.13,175463.295,2537200.496
1,GPCADFGD,4.59,175463.295,2537190.496
1,GPCADFGD,3.86,175463.295,2537160.496
1,GPCADFGD,3.87,175463.295,2537130.496
1,GPCADFGD,2.67,175463.295,2537120.496
1,GPCADFGD,3.99,175463.295,2537150.496
1,GPCADFGD,4.05,175463.295,2537140.496
1,GPCADFGD,3.90,175453.295,2537140.496
1,GPCADFGD,3.62,175453.295,2537130.496
1,GPCADFGD,3.61,175453.295,2537160.496
1,GPCADFGD,3.76,175453.295,2537150.496
1,GPCADFGD,2.55,175453.295,2537120.496
1,GPCADFGD,1.86,175453.295,2537090.496
1,GPCADFGD,-0.17,175453.295,2537080.496
1,GPCADFGD,2.06,175453.295,2537110.496
1,GPCADFGD,2.16,175453.295,2537100.496
1,GPCADFGD,3.78,175453.295,2537170.496
1,GPCADFGD,0.08,175453.295,2537240.496
1,GPCADFGD,0.56,175453.295,2537230.496
1,GPCADFGD,3.34,175453.295,2537260.496
1,GPCADFGD,1.91,175453.295,2537250.496
1,GPCADFGD,3.76,175453.295,2537220.496
1,GPCADFGD,4.78,175453.295,2537190.496
1,GPCADFGD,3.86,175453.295,2537180.496
1,GPCADFGD,4.09,175453.295,2537210.496
1,GPCADFGD,4.02,175453.295,2537200.496
1,GPCADFGD,0.16,175473.295,2537220.496
1,GPCADFGD,1.39,175473.295,2537210.496
1,GPCADFGD,2.71,175473.295,2537240.496
1,GPCADFGD,0.17,175473.295,2537230.496
1,GPCADFGD,3.00,175473.295,2537200.496
1,GPCADFGD,4.74,175473.295,2537170.496
1,GPCADFGD,4.20,175473.295,2537160.496
1,GPCADFGD,3.97,175473.295,2537190.496
1,GPCADFGD,4.44,175473.295,2537180.496
1,GPCADFGD,3.24,175473.295,2537250.496
1,GPCADFGD,0.03,175473.295,2537320.496
1,GPCADFGD,2.20,175473.295,2537310.496
1,GPCADFGD,1.95,175483.295,2537100.496
1,GPCADFGD,1.57,175483.295,2537090.496
1,GPCADFGD,3.13,175473.295,2537300.496
1,GPCADFGD,3.23,175473.295,2537270.496
1,GPCADFGD,3.26,175473.295,2537260.496
1,GPCADFGD,3.24,175473.295,2537290.496
1,GPCADFGD,3.30,175473.295,2537280.496
1,GPCADFGD,3.39,175463.295,2537270.496
1,GPCADFGD,3.30,175463.295,2537260.496
1,GPCADFGD,3.32,175463.295,2537290.496
1,GPCADFGD,3.40,175463.295,2537280.496
1,GPCADFGD,3.26,175463.295,2537250.496
1,GPCADFGD,1.34,175463.295,2537220.496
1,GPCADFGD,2.95,175463.295,2537210.496
1,GPCADFGD,1.34,175463.295,2537240.496
1,GPCADFGD,0.00,175463.295,2537230.496
1,GPCADFGD,3.21,175463.295,2537300.496
1,GPCADFGD,3.94,175473.295,2537130.496
1,GPCADFGD,3.37,175473.295,2537120.496
1,GPCADFGD,4.40,175473.295,2537150.496
1,GPCADFGD,4.35,175473.295,2537140.496
1,GPCADFGD,2.54,175473.295,2537110.496
1,GPCADFGD,0.08,175463.295,2537320.496
1,GPCADFGD,2.54,175463.295,2537310.496
1,GPCADFGD,2.04,175473.295,2537100.496
