計數,名稱,SS-ZZ,位置 X,位置 Y
1,GPCADFGD,-1.22,175751.490,2537139.360
1,GPCADFGD,-1.90,175741.490,2537129.360
1,GPCADFGD,-0.70,175751.490,2537129.360
1,GPCADFGD,-0.15,175741.490,2537149.360
1,GPCADFGD,-1.37,175751.490,2537149.360
1,GPCADFGD,0.00,175741.490,2537139.360
1,GPCADFGD,-0.67,175751.490,2537109.360
1,GPCADFGD,-0.80,175751.490,2537099.360
1,GPCADFGD,0.02,175751.490,2537089.360
1,GPCADFGD,-1.17,175741.490,2537119.360
1,GPCADFGD,-0.60,175751.490,2537119.360
1,GPCADFGD,-1.67,175741.490,2537109.360
1,GPCADFGD,1.57,175761.490,2537059.360
1,GPCADFGD,1.26,175761.490,2537049.360
1,GPCADFGD,0.70,175761.490,2537039.360
1,GPCADFGD,0.38,175761.490,2537089.360
1,GPCADFGD,1.00,175761.490,2537079.360
1,GPCADFGD,1.46,175761.490,2537069.360
1,GPCADFGD,0.36,175761.490,2536999.360
1,GPCADFGD,0.28,175761.490,2536989.360
1,GPCADFGD,0.58,175761.490,2536979.360
1,GPCADFGD,0.37,175761.490,2537029.360
1,GPCADFGD,0.21,175761.490,2537019.360
1,GPCADFGD,0.37,175761.490,2537009.360
1,GPCADFGD,0.55,175751.490,2537079.360
1,GPCADFGD,0.03,175741.490,2537069.360
1,GPCADFGD,0.00,175741.490,2537059.360
1,GPCADFGD,0.36,175741.490,2537049.360
1,GPCADFGD,-1.87,175731.490,2537089.360
1,GPCADFGD,-1.00,175741.490,2537089.360
1,GPCADFGD,0.10,175741.490,2537079.360
1,GPCADFGD,0.49,175741.490,2537009.360
1,GPCADFGD,0.65,175741.490,2536999.360
1,GPCADFGD,0.94,175741.490,2536989.360
1,GPCADFGD,0.76,175741.490,2537039.360
1,GPCADFGD,0.47,175741.490,2537029.360
1,GPCADFGD,0.24,175741.490,2537019.360
1,GPCADFGD,0.90,175751.490,2537039.360
1,GPCADFGD,0.48,175751.490,2537029.360
1,GPCADFGD,0.27,175751.490,2537019.360
1,GPCADFGD,0.97,175751.490,2537069.360
1,GPCADFGD,0.95,175751.490,2537059.360
1,GPCADFGD,0.83,175751.490,2537049.360
1,GPCADFGD,0.85,175751.490,2536979.360
1,GPCADFGD,-0.74,175731.490,2537099.360
1,GPCADFGD,-1.05,175741.490,2537099.360
1,GPCADFGD,0.52,175751.490,2537009.360
1,GPCADFGD,0.57,175751.490,2536999.360
1,GPCADFGD,0.60,175751.490,2536989.360
1,GPCADFGD,0.20,175761.490,2537099.360
1,GPCADFGD,0.68,175781.490,2536989.360
1,GPCADFGD,0.74,175781.490,2536979.360
1,GPCADFGD,0.07,175771.490,2537179.360
1,GPCADFGD,-0.60,175781.490,2537019.360
1,GPCADFGD,-0.09,175781.490,2537009.360
1,GPCADFGD,0.30,175781.490,2536999.360
1,GPCADFGD,0.33,175771.490,2537139.360
1,GPCADFGD,0.37,175771.490,2537129.360
1,GPCADFGD,0.24,175771.490,2537119.360
1,GPCADFGD,0.14,175771.490,2537169.360
1,GPCADFGD,-0.02,175771.490,2537159.360
1,GPCADFGD,0.27,175771.490,2537149.360
1,GPCADFGD,0.76,175781.490,2537109.360
1,GPCADFGD,1.02,175781.490,2537099.360
1,GPCADFGD,1.04,175781.490,2537089.360
1,GPCADFGD,0.33,175781.490,2537139.360
1,GPCADFGD,0.33,175781.490,2537129.360
1,GPCADFGD,0.32,175781.490,2537119.360
1,GPCADFGD,0.34,175781.490,2537049.360
1,GPCADFGD,-0.23,175781.490,2537039.360
1,GPCADFGD,-0.76,175781.490,2537029.360
1,GPCADFGD,1.17,175781.490,2537079.360
1,GPCADFGD,0.83,175781.490,2537069.360
1,GPCADFGD,0.55,175781.490,2537059.360
1,GPCADFGD,0.53,175771.490,2537109.360
1,GPCADFGD,1.00,175751.490,2537169.360
1,GPCADFGD,0.12,175761.490,2537169.360
1,GPCADFGD,-1.30,175751.490,2537159.360
1,GPCADFGD,1.36,175771.490,2536979.360
1,GPCADFGD,-0.15,175751.490,2537179.360
1,GPCADFGD,-1.34,175761.490,2537179.360
1,GPCADFGD,-0.11,175761.490,2537129.360
1,GPCADFGD,0.20,175761.490,2537119.360
1,GPCADFGD,0.35,175761.490,2537109.360
1,GPCADFGD,0.18,175761.490,2537159.360
1,GPCADFGD,-0.06,175761.490,2537149.360
1,GPCADFGD,-0.30,175761.490,2537139.360
1,GPCADFGD,1.64,175771.490,2537069.360
1,GPCADFGD,1.34,175771.490,2537059.360
1,GPCADFGD,1.17,175771.490,2537049.360
1,GPCADFGD,0.43,175771.490,2537099.360
1,GPCADFGD,0.84,175771.490,2537089.360
1,GPCADFGD,1.38,175771.490,2537079.360
1,GPCADFGD,0.14,175771.490,2537009.360
1,GPCADFGD,0.30,175771.490,2536999.360
1,GPCADFGD,0.12,175771.490,2536989.360
1,GPCADFGD,0.31,175771.490,2537039.360
1,GPCADFGD,-0.62,175771.490,2537029.360
1,GPCADFGD,-0.13,175771.490,2537019.360
1,GPCADFGD,-1.40,175661.490,2536979.360
1,GPCADFGD,-0.29,175661.490,2536969.360
1,GPCADFGD,-0.31,175641.490,2536999.360
1,GPCADFGD,-1.95,175661.490,2537009.360
1,GPCADFGD,0.82,175661.490,2536999.360
1,GPCADFGD,0.84,175661.490,2536989.360
1,GPCADFGD,-0.30,175651.490,2536969.360
1,GPCADFGD,-0.12,175641.490,2536989.360
1,GPCADFGD,0.94,175641.490,2536979.360
1,GPCADFGD,0.05,175651.490,2536999.360
1,GPCADFGD,0.69,175651.490,2536989.360
1,GPCADFGD,-0.57,175651.490,2536979.360
1,GPCADFGD,-0.46,175681.490,2536989.360
1,GPCADFGD,0.34,175681.490,2536979.360
1,GPCADFGD,-0.14,175681.490,2536969.360
1,GPCADFGD,1.59,175681.490,2537019.360
1,GPCADFGD,-2.68,175681.490,2537009.360
1,GPCADFGD,-0.65,175681.490,2536999.360
1,GPCADFGD,-0.67,175671.490,2536979.360
1,GPCADFGD,-0.34,175671.490,2536969.360
1,GPCADFGD,0.15,175651.490,2537009.360
1,GPCADFGD,1.80,175671.490,2537009.360
1,GPCADFGD,2.95,175671.490,2536999.360
1,GPCADFGD,-1.26,175671.490,2536989.360
1,GPCADFGD,-0.21,175641.490,2536969.360
1,GPCADFGD,0.07,175571.490,2536969.360
1,GPCADFGD,-0.51,175561.490,2536979.360
1,GPCADFGD,-0.04,175561.490,2536969.360
1,GPCADFGD,-0.70,175581.490,2536979.360
1,GPCADFGD,-0.54,175581.490,2536969.360
1,GPCADFGD,0.07,175571.490,2536979.360
1,GPCADFGD,0.42,175551.490,2536969.360
1,GPCADFGD,-0.62,175551.490,2536959.360
1,GPCADFGD,-1.20,175541.490,2536959.360
1,GPCADFGD,1.58,175541.490,2536979.360
1,GPCADFGD,-0.77,175551.490,2536979.360
1,GPCADFGD,-0.38,175541.490,2536969.360
1,GPCADFGD,-0.35,175631.490,2536969.360
1,GPCADFGD,-2.20,175621.490,2536979.360
1,GPCADFGD,-0.43,175621.490,2536969.360
1,GPCADFGD,-1.00,175621.490,2536989.360
1,GPCADFGD,0.00,175631.490,2536989.360
1,GPCADFGD,-1.02,175631.490,2536979.360
1,GPCADFGD,-0.25,175601.490,2536969.360
1,GPCADFGD,-2.70,175591.490,2536979.360
1,GPCADFGD,-0.24,175591.490,2536969.360
1,GPCADFGD,-1.76,175611.490,2536979.360
1,GPCADFGD,0.02,175611.490,2536969.360
1,GPCADFGD,-2.00,175601.490,2536979.360
1,GPCADFGD,0.59,175671.490,2537019.360
1,GPCADFGD,-1.56,175721.490,2537059.360
1,GPCADFGD,-2.81,175711.490,2537049.360
1,GPCADFGD,-0.60,175721.490,2537049.360
1,GPCADFGD,1.08,175731.490,2536989.360
1,GPCADFGD,0.94,175731.490,2536979.360
1,GPCADFGD,-0.99,175711.490,2537059.360
1,GPCADFGD,1.07,175721.490,2537009.360
1,GPCADFGD,1.14,175721.490,2536999.360
1,GPCADFGD,1.13,175721.490,2536989.360
1,GPCADFGD,-0.14,175721.490,2537039.360
1,GPCADFGD,0.60,175721.490,2537029.360
1,GPCADFGD,0.94,175721.490,2537019.360
1,GPCADFGD,-2.49,175721.490,2537069.360
1,GPCADFGD,-1.26,175731.490,2537069.360
1,GPCADFGD,-1.64,175731.490,2537059.360
1,GPCADFGD,0.75,175741.490,2536979.360
1,GPCADFGD,-1.01,175721.490,2537079.360
1,GPCADFGD,-1.64,175731.490,2537079.360
1,GPCADFGD,0.49,175731.490,2537019.360
1,GPCADFGD,0.76,175731.490,2537009.360
1,GPCADFGD,0.93,175731.490,2536999.360
1,GPCADFGD,-0.13,175731.490,2537049.360
1,GPCADFGD,0.41,175731.490,2537039.360
1,GPCADFGD,0.56,175731.490,2537029.360
1,GPCADFGD,1.03,175721.490,2536979.360
1,GPCADFGD,1.10,175701.490,2536989.360
1,GPCADFGD,0.59,175701.490,2536979.360
1,GPCADFGD,-0.09,175701.490,2536969.360
1,GPCADFGD,-1.15,175701.490,2537019.360
1,GPCADFGD,0.49,175701.490,2537009.360
1,GPCADFGD,1.33,175701.490,2536999.360
1,GPCADFGD,0.91,175691.490,2536989.360
1,GPCADFGD,0.98,175691.490,2536979.360
1,GPCADFGD,-0.11,175691.490,2536969.360
1,GPCADFGD,-0.86,175691.490,2537019.360
1,GPCADFGD,-1.04,175691.490,2537009.360
1,GPCADFGD,0.61,175691.490,2536999.360
1,GPCADFGD,-0.47,175711.490,2537029.360
1,GPCADFGD,1.01,175711.490,2537019.360
1,GPCADFGD,1.56,175711.490,2537009.360
1,GPCADFGD,-0.09,175721.490,2536969.360
1,GPCADFGD,0.55,175701.490,2537039.360
1,GPCADFGD,-0.18,175711.490,2537039.360
1,GPCADFGD,-0.12,175711.490,2536969.360
1,GPCADFGD,0.39,175691.490,2537029.360
1,GPCADFGD,0.08,175701.490,2537029.360
1,GPCADFGD,1.29,175711.490,2536999.360
1,GPCADFGD,1.21,175711.490,2536989.360
1,GPCADFGD,0.64,175711.490,2536979.360
1,GPCADFGD,0.15,175781.490,2537149.360
1,GPCADFGD,0.57,175851.490,2537079.360
1,GPCADFGD,1.58,175851.490,2537069.360
1,GPCADFGD,-1.23,175851.490,2537059.360
1,GPCADFGD,0.51,175851.490,2537109.360
1,GPCADFGD,0.03,175851.490,2537099.360
1,GPCADFGD,-0.41,175851.490,2537089.360
1,GPCADFGD,0.74,175841.490,2537229.360
1,GPCADFGD,0.85,175841.490,2537219.360
1,GPCADFGD,1.14,175841.490,2537209.360
1,GPCADFGD,-1.50,175851.490,2537049.360
1,GPCADFGD,0.22,175841.490,2537249.360
1,GPCADFGD,0.42,175841.490,2537239.360
1,GPCADFGD,-0.23,175851.490,2537199.360
1,GPCADFGD,0.37,175851.490,2537189.360
1,GPCADFGD,-0.80,175851.490,2537179.360
1,GPCADFGD,1.29,175851.490,2537229.360
1,GPCADFGD,1.06,175851.490,2537219.360
1,GPCADFGD,0.42,175851.490,2537209.360
1,GPCADFGD,-2.09,175851.490,2537139.360
1,GPCADFGD,-2.22,175851.490,2537129.360
1,GPCADFGD,-0.49,175851.490,2537119.360
1,GPCADFGD,-0.54,175851.490,2537169.360
1,GPCADFGD,-1.82,175851.490,2537159.360
1,GPCADFGD,-2.34,175851.490,2537149.360
1,GPCADFGD,0.55,175841.490,2537199.360
1,GPCADFGD,0.08,175831.490,2537249.360
1,GPCADFGD,0.23,175831.490,2537239.360
1,GPCADFGD,0.43,175831.490,2537229.360
1,GPCADFGD,2.10,175841.490,2537069.360
1,GPCADFGD,0.11,175841.490,2537059.360
1,GPCADFGD,-2.60,175841.490,2537049.360
1,GPCADFGD,0.88,175831.490,2537189.360
1,GPCADFGD,1.56,175831.490,2537179.360
1,GPCADFGD,1.71,175831.490,2537169.360
1,GPCADFGD,0.47,175831.490,2537219.360
1,GPCADFGD,0.80,175831.490,2537209.360
1,GPCADFGD,0.99,175831.490,2537199.360
1,GPCADFGD,-0.81,175841.490,2537159.360
1,GPCADFGD,-1.72,175841.490,2537149.360
1,GPCADFGD,-1.94,175841.490,2537139.360
1,GPCADFGD,0.48,175841.490,2537189.360
1,GPCADFGD,1.70,175841.490,2537179.360
1,GPCADFGD,1.20,175841.490,2537169.360
1,GPCADFGD,1.67,175841.490,2537099.360
1,GPCADFGD,1.89,175841.490,2537089.360
1,GPCADFGD,1.88,175841.490,2537079.360
1,GPCADFGD,-1.27,175841.490,2537129.360
1,GPCADFGD,0.75,175841.490,2537119.360
1,GPCADFGD,1.15,175841.490,2537109.360
1,GPCADFGD,1.03,175851.490,2537239.360
1,GPCADFGD,0.85,175871.490,2537239.360
1,GPCADFGD,-0.11,175871.490,2537229.360
1,GPCADFGD,-0.06,175871.490,2537219.360
1,GPCADFGD,-0.32,175881.490,2537179.360
1,GPCADFGD,1.12,175871.490,2537259.360
1,GPCADFGD,1.60,175871.490,2537249.360
1,GPCADFGD,-0.48,175871.490,2537179.360
1,GPCADFGD,-0.68,175871.490,2537169.360
1,GPCADFGD,-1.39,175871.490,2537069.360
1,GPCADFGD,-1.11,175871.490,2537209.360
1,GPCADFGD,0.65,175871.490,2537199.360
1,GPCADFGD,-0.85,175871.490,2537189.360
1,GPCADFGD,1.11,175891.490,2537189.360
1,GPCADFGD,1.18,175881.490,2537259.360
1,GPCADFGD,0.09,175881.490,2537249.360
1,GPCADFGD,-0.28,175891.490,2537219.360
1,GPCADFGD,-0.49,175891.490,2537209.360
1,GPCADFGD,-0.12,175891.490,2537199.360
1,GPCADFGD,-0.11,175881.490,2537209.360
1,GPCADFGD,-0.14,175881.490,2537199.360
1,GPCADFGD,-0.68,175881.490,2537189.360
1,GPCADFGD,-0.42,175881.490,2537239.360
1,GPCADFGD,0.04,175881.490,2537229.360
1,GPCADFGD,0.27,175881.490,2537219.360
1,GPCADFGD,-1.20,175871.490,2537059.360
1,GPCADFGD,-1.00,175861.490,2537099.360
1,GPCADFGD,-0.79,175861.490,2537089.360
1,GPCADFGD,-1.02,175861.490,2537079.360
1,GPCADFGD,-1.46,175861.490,2537129.360
1,GPCADFGD,-2.31,175861.490,2537119.360
1,GPCADFGD,-1.56,175861.490,2537109.360
1,GPCADFGD,0.07,175841.490,2537259.360
1,GPCADFGD,0.73,175851.490,2537259.360
1,GPCADFGD,0.82,175851.490,2537249.360
1,GPCADFGD,-0.49,175861.490,2537069.360
1,GPCADFGD,-1.07,175861.490,2537059.360
1,GPCADFGD,-1.40,175861.490,2537049.360
1,GPCADFGD,1.11,175861.490,2537229.360
1,GPCADFGD,0.61,175861.490,2537219.360
1,GPCADFGD,-0.09,175861.490,2537209.360
1,GPCADFGD,1.60,175861.490,2537259.360
1,GPCADFGD,1.35,175861.490,2537249.360
1,GPCADFGD,1.50,175861.490,2537239.360
1,GPCADFGD,-1.61,175861.490,2537169.360
1,GPCADFGD,-1.50,175861.490,2537159.360
1,GPCADFGD,-1.61,175861.490,2537149.360
1,GPCADFGD,0.00,175861.490,2537199.360
1,GPCADFGD,-2.07,175861.490,2537189.360
1,GPCADFGD,-1.85,175861.490,2537179.360
1,GPCADFGD,1.54,175801.490,2537099.360
1,GPCADFGD,1.63,175801.490,2537089.360
1,GPCADFGD,1.53,175801.490,2537079.360
1,GPCADFGD,-0.01,175801.490,2537129.360
1,GPCADFGD,0.54,175801.490,2537119.360
1,GPCADFGD,1.15,175801.490,2537109.360
1,GPCADFGD,0.10,175801.490,2537039.360
1,GPCADFGD,-0.07,175801.490,2537029.360
1,GPCADFGD,1.21,175801.490,2537019.360
1,GPCADFGD,1.34,175801.490,2537069.360
1,GPCADFGD,0.82,175801.490,2537059.360
1,GPCADFGD,0.44,175801.490,2537049.360
1,GPCADFGD,1.85,175811.490,2537059.360
1,GPCADFGD,1.43,175811.490,2537049.360
1,GPCADFGD,1.09,175811.490,2537039.360
1,GPCADFGD,2.10,175811.490,2537089.360
1,GPCADFGD,1.94,175811.490,2537079.360
1,GPCADFGD,1.99,175811.490,2537069.360
1,GPCADFGD,0.41,175811.490,2536999.360
1,GPCADFGD,-0.05,175811.490,2536989.360
1,GPCADFGD,-0.22,175811.490,2536979.360
1,GPCADFGD,0.92,175811.490,2537029.360
1,GPCADFGD,1.19,175811.490,2537019.360
1,GPCADFGD,0.97,175811.490,2537009.360
1,GPCADFGD,0.10,175801.490,2537009.360
1,GPCADFGD,-0.73,175791.490,2537039.360
1,GPCADFGD,-0.77,175791.490,2537029.360
1,GPCADFGD,-0.60,175791.490,2537019.360
1,GPCADFGD,0.90,175791.490,2537069.360
1,GPCADFGD,0.41,175791.490,2537059.360
1,GPCADFGD,0.20,175791.490,2537049.360
1,GPCADFGD,0.88,175791.490,2536979.360
1,GPCADFGD,0.16,175781.490,2537169.360
1,GPCADFGD,-0.08,175781.490,2537159.360
1,GPCADFGD,-0.44,175791.490,2537009.360
1,GPCADFGD,-0.02,175791.490,2536999.360
1,GPCADFGD,0.86,175791.490,2536989.360
1,GPCADFGD,0.19,175791.490,2537159.360
1,GPCADFGD,0.23,175791.490,2537149.360
1,GPCADFGD,0.16,175791.490,2537139.360
1,GPCADFGD,0.50,175801.490,2536999.360
1,GPCADFGD,0.61,175801.490,2536989.360
1,GPCADFGD,-0.42,175801.490,2536979.360
1,GPCADFGD,1.14,175791.490,2537099.360
1,GPCADFGD,1.18,175791.490,2537089.360
1,GPCADFGD,1.06,175791.490,2537079.360
1,GPCADFGD,0.05,175791.490,2537129.360
1,GPCADFGD,0.35,175791.490,2537119.360
1,GPCADFGD,0.88,175791.490,2537109.360
1,GPCADFGD,1.74,175811.490,2537099.360
1,GPCADFGD,2.07,175831.490,2537039.360
1,GPCADFGD,-0.23,175811.490,2537249.360
