"觀測時間(month)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime","RH"
"01","1012.2","1019.0","2021/01/01 08:21:00","1002.2","2021/01/22 16:31:00","16.6","29.5","2021/01/21 13:17:00","7.1","2021/01/10 07:05:00","1.5","35","11.7","340","2021/01/28 16:20:00","3.0","1","3.0","2021/01/22 00:00:00","78"
"02","1009.8","1017.8","2021/02/18 22:11:00","1000.9","2021/02/26 15:15:00","19.7","29.1","2021/02/26 12:31:00","11.1","2021/02/20 04:06:00","1.3","35","9.5","22","2021/02/11 15:06:00","11.0","2","10.5","2021/02/11 00:00:00","81"
"03","1008.6","1015.8","2021/03/22 21:52:00","999.3","2021/03/29 15:41:00","22.7","32.6","2021/03/31 13:02:00","14.3","2021/03/25 05:51:00","1.4","39","8.6","1","2021/03/21 14:17:00","7.5","1","7.5","2021/03/24 00:00:00","81"
"04","1006.5","1013.3","2021/04/11 08:31:00","997.9","2021/04/23 15:41:00","25.0","33.3","2021/04/02 12:31:00","17.2","2021/04/10 05:31:00","1.4","36","9.5","24","2021/04/23 13:03:00","20.0","4","18.5","2021/04/29 00:00:00","80"
"05","1003.8","1009.6","2021/05/06 08:02:00","997.9","2021/05/31 02:39:00","29.5","37.5","2021/05/25 11:21:00","20.8","2021/05/02 06:01:00","1.5","11","9.6","231","2021/05/19 13:05:00","67.0","4","58.5","2021/05/30 00:00:00","77"
"06","1001.2","1006.1","2021/06/12 22:11:00","994.7","2021/06/04 15:51:00","28.1","35.8","2021/06/13 11:43:00","23.8","2021/06/06 17:11:00","1.3","50","11.6","284","2021/06/01 12:49:00","960.5","21","195.0","2021/06/06 00:00:00","90"
"07","998.9","1007.2","2021/07/07 22:31:00","985.8","2021/07/23 16:08:00","29.0","36.1","2021/07/05 12:51:00","24.1","2021/07/14 04:51:00","1.4","25","12.4","88","2021/07/23 13:47:00","469.5","21","130.5","2021/07/31 00:00:00","88"
"08","1001.4","1008.0","2021/08/16 08:23:00","991.3","2021/08/06 16:44:00","28.4","36.0","2021/08/28 12:11:00","23.3","2021/08/26 16:56:00","1.4","60","14.1","262","2021/08/06 21:34:00","921.5","16","233.0","2021/08/01 00:00:00","89"
"09","1003.1","1009.2","2021/09/23 21:23:00","988.3","2021/09/12 04:11:00","29.1","36.1","2021/09/20 13:55:00","23.8","2021/09/05 20:52:00","1.0","1","9.1","90","2021/09/23 17:02:00","138.5","13","36.5","2021/09/05 00:00:00","85"
"10","1005.7","1013.0","2021/10/29 09:02:00","988.0","2021/10/11 21:33:00","27.0","34.7","2021/10/02 12:25:00","20.1","2021/10/29 06:16:00","1.1","37","7.7","43","2021/10/21 15:09:00","53.0","7","17.0","2021/10/01 00:00:00","84"
"11","1008.9","1013.8","2021/11/23 22:41:00","1001.4","2021/11/06 13:47:00","23.2","33.7","2021/11/06 11:21:00","15.1","2021/11/11 06:13:00","1.3","40","9.2","360","2021/11/30 15:41:00","5.5","4","2.5","2021/11/28 00:00:00","82"
"12","1012.7","1020.3","2021/12/27 08:44:00","1004.8","2021/12/21 15:32:00","19.3","28.5","2021/12/15 14:03:00","11.0","2021/12/04 05:21:00","1.4","35","8.3","35","2021/12/17 19:37:00","13.0","4","7.5","2021/12/21 00:00:00","84"
